ProductName,Price,Rating
"Apple iPhone 5C (Blue, 8 GB)","₹14,999",3.9
"Apple iPhone XR (Coral, 256 GB)","₹74,900",4.6
"Apple iPhone 11 Pro Max (Gold, 256 GB)","₹1,31,900",4.7
"Apple iPhone 7 (Gold, 256 GB)","₹47,999",4.5
"Apple iPhone 6 Plus (Silver, 64 GB)","₹48,999",4.5
"Apple iPhone 6 Plus (Silver, 16 GB)","₹40,999",4.5
"Apple iPhone 6 Plus (Space Grey, 16 GB)","₹39,999",4.5
"Apple iPhone 6 Plus (Silver, 128 GB)","₹48,999",4.5
"Apple iPhone 6 Plus (Gold, 64 GB)","₹71,500",4.5
"Apple iPhone 6 Plus (Gold, 128 GB)","₹59,999",4.7
"Apple iPhone 6 Plus (Space Grey, 128 GB)","₹56,999",4.5
"Apple iPhone 11 Pro (Space Grey, 256 GB)","₹1,21,300",4.7
"Apple iPhone 11 Pro Max (Space Grey, 512 GB)","₹1,50,800",4.7
"Apple iPhone 7 (Jet Black, 256 GB)","₹54,999",4.5
"Apple iPhone 6 Plus (Space Grey, 64 GB)","₹48,999",4.5
"Apple iPhone 6 (Space Grey, 64 GB)","₹24,990",4.4
"Apple iPhone XS Max (Gold, 64 GB)","₹69,999",4.6
"Apple iPhone 7 (Red, 128 GB)","₹34,900",4.5
"Apple iPhone 6s (Silver, 16 GB)","₹22,490",4.5
"Apple iPhone 6s Plus (Rose Gold, 32 GB)","₹33,999",4.4
"Apple iPhone XS (Gold, 512 GB)","₹89,900",4.7
"Apple iPhone 7 Plus (Red, 128 GB)","₹42,900",4.5
"Apple iPhone 6 (Space Grey, 32 GB)","₹21,944",4.4
"Apple iPhone 6s (Space Grey, 128 GB)","₹43,490",4.5
